Chord Name,Chord Type,Ft-E,Ft-A,Ft-D,Ft-G,Ft-B,Ft-e,Fg-E,Fg-A,Fg-D,Fg-G,Fg-B,Fg-e,Fn-E,Fn-A,Fn-D,Fn-G,Fn-B,Fn-e,Fi-E,Fi-A,Fi-D,Fi-G,Fi-B,Fi-e,Fret Positions,Finger Positions,Notes,Sorted Intervals,Grouping
Em(maj7),m(maj7),0,2,1,0,0,0,0,2,1,0,0,0,E,B,Eb,G,B,E,1,5,7,b3,5,1,0-2-1-0-0-0,0-2-1-0-0-0,E B Eb G B E,1 b3 5 7 ,
Em(maj7),m(maj7),12,x,13,12,12,x,1,x,4,2,3,x,E,,Eb,G,B,,1,,7,b3,5,,12-x-13-12-12-x,1-x-4-2-3-x,E Eb G B,1 b3 5 7 ,
Em(maj7),m(maj7),x,7,5,4,4,x,x,4,2,1,1,x,,E,G,B,Eb,,,1,b3,5,7,,x-7-5-4-4-x,x-4-2-1-1-x,E G B Eb,1 b3 5 7 ,
Em(maj7),m(maj7),x,7,9,8,8,7,x,1,4,2,3,1,,E,B,Eb,G,B,,1,5,7,b3,5,x-7-9-8-8-7,x-1-4-2-3-1,E B Eb G B,1 b3 5 7 ,
Em(maj7),m(maj7),x,x,2,4,4,3,x,x,1,3,4,2,,,E,B,Eb,G,,,1,5,7,b3,x-x-2-4-4-3,x-x-1-3-4-2,E B Eb G,1 b3 5 7 ,
Em11,m11,0,0,0,0,0,2,0,0,0,0,0,2,E,A,D,G,B,Gb,1,4,b7,b3,5,2,0-0-0-0-0-2,0-0-0-0-0-2,E A D G B Gb,1 2 b3 4 5 b7 ,
Em11,m11,12,x,12,12,10,x,2,x,3,4,1,x,E,,D,G,A,,1,,b7,b3,4,,12-x-12-12-10-x,2-x-3-4-1-x,E D G A,1 b3 4 b7 ,
Em11,m11,x,7,5,7,7,5,x,2,1,3,4,1,,E,G,D,Gb,A,,1,b3,b7,2,4,x-7-5-7-7-5,x-2-1-3-4-1,E G D Gb A,1 2 b3 4 b7 ,
Em11,m11,x,7,7,7,8,7,x,1,1,1,2,1,,E,A,D,G,B,,1,4,b7,b3,5,x-7-7-7-8-7,x-1-1-1-2-1,E A D G B,1 b3 4 5 b7 ,
Em11,m11,x,x,14,14,15,15,x,x,1,1,3,3,,,E,A,D,G,,,1,4,b7,b3,x-x-14-14-15-15,x-x-1-1-3-3,E A D G,1 b3 4 b7 ,
Em13,m13,0,2,0,0,2,2,0,2,0,0,3,4,E,B,D,G,Db,Gb,1,5,b7,b3,6,2,0-2-0-0-2-2,0-2-0-0-3-4,E B D G Db Gb,1 2 b3 5 6 b7 ,
Em13,m13,12,14,12,12,14,12,1,3,1,1,4,1,E,B,D,G,Db,E,1,5,b7,b3,6,1,12-14-12-12-14-12,1-3-1-1-4-1,E B D G Db E,1 b3 5 6 b7 ,
Em13,m13,x,5,5,6,7,7,x,1,1,2,3,4,,D,G,Db,Gb,B,,b7,b3,6,2,5,x-5-5-6-7-7,x-1-1-2-3-4,D G Db Gb B,2 b3 5 6 b7 ,
Em13,m13,x,7,x,7,8,9,x,1,x,2,3,4,,E,,D,G,Db,,1,,b7,b3,6,x-7-x-7-8-9,x-1-x-2-3-4,E D G Db,1 b3 6 b7 ,
Em13,m13,x,x,12,12,14,14,x,x,1,1,3,3,,,D,G,Db,Gb,,,b7,b3,6,2,x-x-12-12-14-14,x-x-1-1-3-3,D G Db Gb,2 b3 6 b7 ,
Em6,m6,0,2,2,0,2,0,0,1,2,0,3,0,E,B,E,G,Db,E,1,5,1,b3,6,1,0-2-2-0-2-0,0-1-2-0-3-0,E B E G Db E,1 b3 5 6 ,
Em6,m6,0,2,2,0,2,0,0,2,3,0,4,0,E,B,E,G,Db,E,1,5,1,b3,6,1,0-2-2-0-2-0,0-2-3-0-4-0,E B E G Db E,1 b3 5 6 ,
Em6,m6,9,x,9,9,7,x,2,x,3,4,1,x,Db,,B,E,Gb,,6,,5,1,2,,9-x-9-9-7-x,2-x-3-4-1-x,Db B E Gb,1 2 5 6 ,
